index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,genre_split,country
1,tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],,tt0075314,8.3,795222.0,crime,US
1,tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],,tt0075314,8.3,795222.0,drama,US
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],,tt0071853,8.2,530877.0,comedy,GB
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],,tt0071853,8.2,530877.0,fantasy,GB
3,tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],,tt0079470,8.0,392419.0,comedy,GB
4,tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],,tt0070047,8.1,391942.0,horror,US
6,tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7,153463.0,thriller,US
6,tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7,153463.0,crime,US
6,tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7,153463.0,action,US
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0,drama,US
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0,music,US
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0,romance,US
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0,family,US
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],,tt0080453,5.8,69053.0,romance,US
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],,tt0080453,5.8,69053.0,drama,US
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7,111189.0,drama,US
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7,111189.0,crime,US
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7,111189.0,action,US
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16168.0,western,US
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16168.0,action,US
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16168.0,european,US
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,war,US
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,war,GB
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,action,US
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,action,GB
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,drama,US
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0,drama,GB
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0,comedy,JP
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0,animation,JP
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0,action,JP
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0,fantasy,JP
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0,family,JP
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,comedy,US
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,documentation,US
