person_id,name,type,total_votes,average_score,total_numbers
7,Tamsin Greig,MOVIE,104424.0,6.3999999999999995,3
8,Arsher Ali,MOVIE,165803.0,6.266666666666667,3
11,Katherine Kelly,MOVIE,90400.0,7.3,2
11,Katherine Kelly,SHOW,17992.0,7.6,1
16,Miriam Leone,MOVIE,1215.0,6.6,1
18,Stefano Accorsi,MOVIE,1937.0,6.85,2
21,Pietro Ragusa,MOVIE,1308.0,6.1,1
25,Flavio Medina,MOVIE,5370.0,7.2,1
25,Flavio Medina,SHOW,2976.0,6.550000000000001,2
26,Rosa María Bianchi,SHOW,3210.0,7.8,1
27,Sophie Alexander-Katz,MOVIE,11816.0,6.833333333333333,3
27,Sophie Alexander-Katz,SHOW,0.0,,1
33,Estefanía Villarreal,SHOW,2122.0,6.2,1
36,Livia Brito Pestana,MOVIE,5370.0,7.2,1
38,Ela Velden,MOVIE,1058.0,5.7,1
45,David Lewis,MOVIE,105488.0,4.5600000000000005,5
48,Tom Kane,MOVIE,203777.0,5.8,4
50,Carl Lumbly,MOVIE,1771.0,7.4,1
51,Kevin Conroy,MOVIE,55806.0,6.4,1
51,Kevin Conroy,SHOW,0.0,,1
53,Phil LaMarr,MOVIE,68609.0,6.5,3
54,Susan Eisenberg,SHOW,26127.0,5.2,1
58,Andrew Bachelor,MOVIE,408488.0,5.844444444444445,9
58,Andrew Bachelor,SHOW,0.0,,1
60,Jamie Chung,MOVIE,651696.0,5.775,4
61,Ryan Hansen,MOVIE,154046.0,5.066666666666666,6
62,Alison Rich,MOVIE,112030.0,7.199999999999999,2
64,Daryl Sabara,MOVIE,161964.0,5.65,2
67,Benjamín Vicuña,MOVIE,1120.0,6.3,1
67,Benjamín Vicuña,SHOW,21388.0,8.2,1
68,Luis Gnecco,MOVIE,121686.0,6.85,3
69,Marcelo Alonso,MOVIE,4231.0,6.8,1
71,Aline Küppenheim,SHOW,0.0,,1
72,Luis Dubó,MOVIE,1120.0,6.3,1
73,Blanca Lewin,SHOW,755.0,8.5,1
77,Alejandro Goic,MOVIE,965.0,5.8,2
77,Alejandro Goic,SHOW,0.0,,1
78,Fele Martínez,MOVIE,4782.0,6.1,2
79,Paulina Urrutia,MOVIE,1120.0,6.3,1
82,Cristián de la Fuente,MOVIE,0.0,,1
83,Héctor Morales,MOVIE,6316.0,6.3,3
90,Sergio Hernández,SHOW,755.0,8.5,2
102,Laura Galán,MOVIE,6732.0,6.1,1
103,Paola Lattus,MOVIE,4231.0,6.8,1
114,Juan de Dios Larraín,MOVIE,1120.0,6.3,1
115,Pablo Larraín,MOVIE,5351.0,6.55,2
121,Mamiko Noto,MOVIE,6602.0,7.333333333333333,3
122,Rie Tanaka,SHOW,19345.0,6.866666666666667,3
123,Takahiro Mizushima,SHOW,73571.0,8.166666666666666,3
130,Saori Hayami,MOVIE,97358.0,6.775,4
130,Saori Hayami,SHOW,177881.0,7.457142857142856,7
